AIRLINE,COUNTRY,INFORMATION
Aer Turas,  Ireland, inactive (with supported aircraft)
AerCaribe,  Colombia,  3 aircraft 
Aereo Calafia,  Mexico,  2 aircraft 
Aeris,  France, inactive (with supported aircraft)
Aerlink,  Australia,  7 aircraft 
Aero Africa,  Eswatini, inactive (with supported aircraft)
Aero Airlines,  Estonia, inactive (with supported aircraft)
Aero Amigo,  Mexico, inactive (with supported aircraft)
Aero Asia,  Pakistan, inactive (with supported aircraft)
Aero Bee Airlines,  Canada, inactive (with supported aircraft)
Aero Caribbean,  Cuba,  2 aircraft 
Aero Chile,  Chile, inactive (with supported aircraft)Renamed / Merged to Avant Airlines
Aero Continente,  Peru, inactive (with supported aircraft)Renamed / Merged to Nuevo Continente
Aero Continente Chile,  Chile, inactive (with supported aircraft)
Aero Contractors,  Nigeria,  1 aircraft 
Aero Controls,  USA, inactive (with supported aircraft)
Aero Costa Rica,  Costa Rica, inactive (with supported aircraft)
Aero Dili,  Timor-Leste,  1 aircraft 
Aero Feliz,  Mexico, inactive (with supported aircraft)
Aero Flight,  Germany, inactive (with supported aircraft)
Aero Flite,  USA,  6 aircraft 
Aero K,  South Korea,  4 aircraft 
Aero Lloyd,  Germany, inactive (with supported aircraft)Renamed / Merged to FlyNiki
Aero Malaysiana,  Malaysia, inactive (with supported aircraft)
Aero Mongolia,  Mongolia,  3 aircraft 
Aero Nomad,  Kyrgyzstan,  4 aircraft 
Aero Quetzal,  Guatemala, inactive (with supported aircraft)
Aero Republica Colombia,  Colombia, inactive (with supported aircraft)Renamed / Merged to Copa Airlines Colombia
Aero Santa,  Peru, inactive (with supported aircraft)
Aero Services,  Congo, inactive (with supported aircraft)
Aero Services Corporate,  France, inactive (with supported aircraft)
Aero Transporte,  Peru,  5 aircraft 
Aero Tropical,  Mexico, inactive (with supported aircraft)
Aero UK,  United Kingdom, inactive (with supported aircraft)
Aero Zambia,  Zambia, inactive (with supported aircraft)
Aero4m,  Slovenia, inactive (with supported aircraft)Renamed / Merged to Amelia
AerOasis,  Colombia, inactive (with supported aircraft)
Aerocancun,  Mexico, inactive (with supported aircraft)
AeroChaco,  Argentina, inactive (with supported aircraft)
Aerocondor,  Peru, inactive (with supported aircraft)
Aerocondor Colombia,  Colombia, inactive (with supported aircraft)
Aerocondor Portugal,  Portugal, inactive (with supported aircraft)
Aerodesierto,  Chile, inactive (with supported aircraft)
Aeroel Airways,  Israel, inactive (with supported aircraft)
Aeroexpress,  Niger, inactive (with supported aircraft)
Aerofan,  Spain, inactive (with supported aircraft)
Aeroflot,  Russia,  160 aircraft 
Aeroflot-Don,  Russia, inactive (with supported aircraft)Renamed / Merged to Donavia
Aeroflot-Nord,  Russia, inactive (with supported aircraft)Renamed / Merged to Nordavia Regional Airlines
Aeroflyer,  Canada,  2 aircraft 
Aerogal,  Ecuador, inactive (with supported aircraft)Renamed / Merged to Avianca Ecuador
Aerogaviota,  Cuba,  2 aircraft 
AeroHonduras,  Honduras, inactive (with supported aircraft)
Aeroitalia,  Italy,  9 aircraft 
AeroJet,  Angola, inactive (with supported aircraft)
AeroJet  Aircompany,  Ukraine, inactive (with supported aircraft)
Aeroland,  Greece, inactive (with supported aircraft)
AeroLap,  Paraguay, inactive (with supported aircraft)
Aeroleasing,  Switzerland, inactive (with supported aircraft)
Aerolift,  Sierra Leone, inactive (with supported aircraft)
Aerolinair,  France, inactive (with supported aircraft)
Aerolinea Principal Chile,  Chile, inactive (with supported aircraft)Renamed / Merged to PAL Airlines Chile
Aerolineas Argentinas,  Argentina,  78 aircraft 
Aerolineas del Sur,  Chile, inactive (with supported aircraft)Renamed / Merged to Air Comet Chile
Aerolineas Regionales,  Mexico, inactive (with supported aircraft)
Aerolineas Sosa,  Honduras,  3 aircraft 
Aerolitoral,  Mexico, inactive (with supported aircraft)Renamed / Merged to Aeromexico Connect
AeroLogic,  Germany,  21 aircraft 
Aerolyon,  France, inactive (with supported aircraft)
Aeromar,  Mexico, inactive (with supported aircraft)
Aeromar Airlines,  Dominican Republic, inactive (with supported aircraft)
Aeromaritime,  France, inactive (with supported aircraft)Renamed / Merged to Air Charter
Aeromexico,  Mexico,  106 aircraft 
Aeromexico Connect,  Mexico,  41 aircraft 
Aeromexico Travel,  Mexico, inactive (with supported aircraft)
Aeromextour,  Mexico, inactive (with supported aircraft)
Aeromonterrey,  Mexico, inactive (with supported aircraft)
Aeronaves TSM,  Mexico,  33 aircraft 
Aeronexus,  South Africa,  1 aircraft 
Aeronova,  Spain,  8 aircraft Renamed / Merged to Air Europa Express
Aeroperlas,  Panama, inactive (with supported aircraft)
AeroPeru,  Peru, inactive (with supported aircraft)
Aeroposta,  Argentina, inactive (with supported aircraft)
Aeropostal,  Venezuela,  1 aircraft 
Aeroregional,  Ecuador,  3 aircraft 
Aerospace One,  Greece, inactive (with supported aircraft)
Aerostan,  Kyrgyzstan,  5 aircraft 
Aerosucre Colombia,  Colombia,  3 aircraft 
Aerosur,  Bolivia, inactive (with supported aircraft)
Aerosvit Airlines,  Ukraine, inactive (with supported aircraft)
Aerosweet Airlines,  Ukraine, inactive (with supported aircraft)Renamed / Merged to Aerosvit Airlines
Aerotaca,  Colombia, inactive (with supported aircraft)
Aerotour,  France, inactive (with supported aircraft)
Aerotranscargo,  Moldova,  4 aircraft 
AeroUnion,  Mexico,  5 aircraft 
AeroUSA,  USA, inactive (with supported aircraft)
Aerovias,  Guatemala, inactive (with supported aircraft)
Aerovias DAP,  Chile,  12 aircraft 
Aerovista Gulf Express,  United Arab Emirates, inactive (with supported aircraft)
Aerowings,  Antigua Barbuda, inactive (with supported aircraft)
Aerro Direkt,  Romania,  1 aircraft 
Afghan Jet International,  Afghanistan, inactive (with supported aircraft)
Afric Aviation,  Gabon, inactive (with supported aircraft)
Africa Charter Airline,  South Africa,  3 aircraft 
Africa One,  Congo, inactive (with supported aircraft)
Africa World Airlines,  Ghana,  6 aircraft 
African Airline Investments,  South Africa, inactive (with supported aircraft)
African Express Airways,  Kenya,  1 aircraft 
African Safari Airways,  Kenya, inactive (with supported aircraft)
African Star Airways,  South Africa, inactive (with supported aircraft)
Afrijet Airlines,  Nigeria, inactive (with supported aircraft)
Afrijet Airlines Business Service,  Gabon,  3 aircraft 
Afriqiyah Airways,  Libya,  6 aircraft 
Afrique Airlines,  Benin, inactive (with supported aircraft)
AG Air,  Georgia, inactive (with supported aircraft)
aha!,  USA, inactive (with supported aircraft)
Aigle Azur,  France, inactive (with supported aircraft)
Air 2000,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to First Choice Airways
Air 26,  Angola, inactive (with supported aircraft)
Air Adriatic,  Croatia, inactive (with supported aircraft)
Air Affaires Gabon,  Gabon,  1 aircraft 
Air Afrique,  Ivory Coast, inactive (with supported aircraft)
Air Aland,  Finland, inactive (with supported aircraft)
Air Alanna,  Ukraine, inactive (with supported aircraft)
Air Albania,  Albania,  3 aircraft 
Air alfa,  Turkey, inactive (with supported aircraft)
Air Algerie,  Algeria,  53 aircraft 
Air Alliance,  Canada, inactive (with supported aircraft)Renamed / Merged to Air Nova
Air Almaty,  Qazakhstan, inactive (with supported aircraft)
Air Alps,  Switzerland, inactive (with supported aircraft)
Air Amazonia,  Brazil, inactive (with supported aircraft)
Air Ambar,  Dominican Republic, inactive (with supported aircraft)
Air America,  USA, inactive (with supported aircraft)
Air Anatolia,  Turkey, inactive (with supported aircraft)
Air Andaman,  Thailand, inactive (with supported aircraft)
Air Anka,  Turkey,  3 aircraft 
Air Annobon,  Equatorial Guinea, inactive (with supported aircraft)
Air Antares,  Romania, inactive (with supported aircraft)
Air Antilles Express,  France,  6 aircraft 
Air Antwerp,  Belgium, inactive (with supported aircraft)
Air Arabia,  United Arab Emirates,  44 aircraft 
Air Arabia Abu Dhabi,  United Arab Emirates,  10 aircraft 
Air Arabia Egypt,  Egypt,  4 aircraft 
Air Arabia Jordan,  Jordan, inactive (with supported aircraft)
Air Arabia Maroc,  Morocco,  10 aircraft 
Air Armenia,  Armenia, inactive (with supported aircraft)
Air Aruba,  Aruba, inactive (with supported aircraft)
Air Asiatic,  India, inactive (with supported aircraft)
Air Astana,  Qazakhstan,  28 aircraft 
Air Astra,  Bangladesh,  3 aircraft 
Air Asturias,  Spain, inactive (with supported aircraft)
Air Atlanta Europe,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Excel Airways
Air Atlanta Europe Malta,  Malta,  7 aircraft 
Air Atlanta Icelandic,  Iceland,  9 aircraft 
Air Atlantic,  Canada, inactive (with supported aircraft)
Air Atlantique,  France, inactive (with supported aircraft)
Air Atlantis,  Portugal, inactive (with supported aircraft)
Air Atlas Express,  Morocco, inactive (with supported aircraft)
Air Austral,  France,  9 aircraft 
Air Australia,  Australia, inactive (with supported aircraft)
Air Bagan,  Myanmar, inactive (with supported aircraft)
Air Bahamas,  Bahamas, inactive (with supported aircraft)
Air Baltic,  Latvia,  43 aircraft 
Air Bashkortostan,  Russia, inactive (with supported aircraft)
Air Batumi,  Georgia, inactive (with supported aircraft)
Air BC,  Canada, inactive (with supported aircraft)Renamed / Merged to Air Canada Regional
Air Bee,  Italy, inactive (with supported aircraft)
Air Belgium,  Belgium,  9 aircraft 
Air Belgium - old,  Belgium, inactive (with supported aircraft)
Air Berlin,  Germany, inactive (with supported aircraft)
Air Berlin Turkey,  Turkey, inactive (with supported aircraft)
Air Berlin USA,  USA, inactive (with supported aircraft)Renamed / Merged to Air Berlin
Air Bikini,  Marshall Islands,  1 aircraft 
Air Bishkek,  Kyrgyzstan, inactive (with supported aircraft)
Air Bosna,  Bosnia-Hercegovina, inactive (with supported aircraft)Renamed / Merged to BH Airlines
Air Botnia,  Finland, inactive (with supported aircraft)Renamed / Merged to Blue 1
Air Botswana,  Botswana,  3 aircraft 
Air Bourbon,  France, inactive (with supported aircraft)
Air Bremen,  Germany, inactive (with supported aircraft)
Air Bretagne,  France, inactive (with supported aircraft)
Air Bridge Cargo,  Russia, inactive (with supported aircraft)
Air Bucharest,  Romania, inactive (with supported aircraft)
Air Burkina,  Burkina Faso,  2 aircraft 
Air Busan,  South Korea,  21 aircraft 
Air Cairo,  Egypt,  30 aircraft 
Air Caledonie,  France,  1 aircraft 
Air Caledonie International,  France,  3 aircraft 
Air California,  USA, inactive (with supported aircraft)Renamed / Merged to AirCal
Air Canada,  Canada,  190 aircraft 
Air Canada Jetz,  Canada,  3 aircraft 
Air Canada Regional,  Canada, inactive (with supported aircraft)Renamed / Merged to Jazz Air
Air Canada Rouge,  Canada,  42 aircraft 
Air Caraibes,  France,  12 aircraft 
Air Cargo Germany,  Germany, inactive (with supported aircraft)
Air Cargo Global,  Slovakia, inactive (with supported aircraft)
Air Cargo Mongolia,  Mongolia, inactive (with supported aircraft)
Air Caribbean,  Jamaica, inactive (with supported aircraft)
Air Carnival,  India, inactive (with supported aircraft)
Air Caucasus,  Georgia, inactive (with supported aircraft)
Air Central,  China,  10 aircraft 
Air Central Japan,  Japan, inactive (with supported aircraft)Renamed / Merged to ANA Wings
Air Century,  Dominican Republic,  5 aircraft 
Air Chabahar,  Iran, inactive (with supported aircraft)
Air Changan,  China,  11 aircraft 
Air Charter,  France, inactive (with supported aircraft)
Air Charter Express,  Ghana, inactive (with supported aircraft)
Air Charter Scotland,  United Kingdom,  1 aircraft 
Air Chathams,  New Zealand,  8 aircraft 
Air China,  China,  497 aircraft 
Air China Inner Mongolia,  China,  8 aircraft 
Air Club Int,  Canada, inactive (with supported aircraft)
Air CM Global,  Malta,  3 aircraft 
Air Columbus,  Portugal, inactive (with supported aircraft)
Air Comet,  Spain, inactive (with supported aircraft)
Air Comet Chile,  Chile, inactive (with supported aircraft)
Air Comores,  Comoros, inactive (with supported aircraft)
Air Congo,  Congo, inactive (with supported aircraft)
Air Connect,  Romania,  2 aircraft 
Air Contractors,  Ireland, inactive (with supported aircraft)Renamed / Merged to ASL Airlines Ireland
Air Corridor,  Mozambique, inactive (with supported aircraft)
Air Corsica,  France,  12 aircraft 
Air Costa,  India, inactive (with supported aircraft)
Air Costa Rica,  Costa Rica, inactive (with supported aircraft)
Air Cote Ivoire,  Ivory Coast,  7 aircraft 
Air Creebec,  Canada,  16 aircraft 
Air Croatia,  Croatia, inactive (with supported aircraft)
Air Cuenca,  Ecuador, inactive (with supported aircraft)
Air Dabia,  Gambia, inactive (with supported aircraft)
Air Dale,  Canada, inactive (with supported aircraft)
Air Deccan,  India, inactive (with supported aircraft)Renamed / Merged to Kingfisher Red
Air Dilijans,  Armenia,  1 aircraft 
Air Djibouti,  Djibouti,  1 aircraft 
Air Dolomiti,  Italy,  19 aircraft 
Air Dominicana,  Dominican Republic, inactive (with supported aircraft)
Air Eagle,  Pakistan, inactive (with supported aircraft)
Air Efata,  Indonesia, inactive (with supported aircraft)
Air Europa,  Spain,  41 aircraft 
Air Europa Express,  Spain,  8 aircraft 
Air Europe,  United Kingdom, inactive (with supported aircraft)
Air Europe Italy,  Italy, inactive (with supported aircraft)
Air Exel Belgique,  Belgium, inactive (with supported aircraft)
Air Exel Netherlands,  Netherlands, inactive (with supported aircraft)
Air Express Algeria,  Algeria,  2 aircraft 
Air Express Sweden,  Sweden, inactive (with supported aircraft)
Air Falcon,  Pakistan, inactive (with supported aircraft)
Air Fiji,  Fiji, inactive (with supported aircraft)
Air Fin Europe,  United Kingdom, inactive (with supported aircraft)
Air Finland,  Finland, inactive (with supported aircraft)
Air Florida,  USA, inactive (with supported aircraft)
Air Foyle,  United Kingdom, inactive (with supported aircraft)
Air France,  France,  212 aircraft 
Air Gabon,  Gabon, inactive (with supported aircraft)
Air Georgia,  Georgia, inactive (with supported aircraft)
Air Georgian,  Canada, inactive (with supported aircraft)
Air Ghana,  Ghana,  1 aircraft 
Air Global,  Portugal, inactive (with supported aircraft)
Air Go Airlines,  Egypt, inactive (with supported aircraft)
Air Great Wall,  China, inactive (with supported aircraft)Renamed / Merged to China Eastern Airlines
Air Greece,  Greece, inactive (with supported aircraft)
Air Greenland,  Denmark,  9 aircraft 
Air Guadeloupe,  France, inactive (with supported aircraft)Renamed / Merged to Air Caraibes
Air Guilin,  China,  10 aircraft 
Air Guinee,  Guinea, inactive (with supported aircraft)
Air Guinee Express,  Guinea, inactive (with supported aircraft)
Air Gulf Falcon,  Eswatini, inactive (with supported aircraft)
Air Guyane,  France, inactive (with supported aircraft)
Air Hamburg,  Germany,  23 aircraft 
Air Hawaii,  USA, inactive (with supported aircraft)
Air Holland,  Netherlands, inactive (with supported aircraft)
Air Hollandia,  Netherlands, inactive (with supported aircraft)
Air Hong Kong,  Hong-Kong,  15 aircraft 
Air Horizons,  France, inactive (with supported aircraft)
Air Horizont,  Spain,  5 aircraft 
Air Iceland Connect,  Iceland,  6 aircraft 
Air Incheon,  South Korea,  4 aircraft 
Air India,  India,  117 aircraft 
Air India Express,  India,  26 aircraft 
Air India Regional,  India,  20 aircraft 
Air Indus,  Pakistan, inactive (with supported aircraft)
Air Industria,  Italy, inactive (with supported aircraft)
Air Inter,  France, inactive (with supported aircraft)Renamed / Merged to Air France
Air Inter Cameroon,  Cameroon, inactive (with supported aircraft)
Air Inter Congo,  Congo, inactive (with supported aircraft)
Air Inter Gabon,  Gabon, inactive (with supported aircraft)
Air Inuit,  Canada,  21 aircraft 
Air Italy,  Italy, inactive (with supported aircraft)Renamed / Merged to Meridiana
Air Italy Polska,  Poland, inactive (with supported aircraft)Renamed / Merged to Air Poland
Air Ivoire,  Ivory Coast, inactive (with supported aircraft)
Air Jamaica,  Jamaica, inactive (with supported aircraft)Renamed / Merged to Caribbean Airlines
Air Jamaica Express,  Jamaica, inactive (with supported aircraft)
Air Jet,  France, inactive (with supported aircraft)
Air Jet Angola,  Angola, inactive (with supported aircraft)
Air Kasai,"  Congo, Democratic Republic of", inactive (with supported aircraft)
Air Kazakstan,  Qazakhstan, inactive (with supported aircraft)
Air KBZ,  Myanmar,  3 aircraft 
Air Kenya,  Kenya,  2 aircraft 
Air Kiribati,  Kiribati,  1 aircraft 
Air Lanka,  Sri Lanka, inactive (with supported aircraft)Renamed / Merged to Srilankan Airlines
Air Leap,  Sweden, inactive (with supported aircraft)
Air Lebanon,  Lebanon, inactive (with supported aircraft)
Air Leisure Egypt,  Egypt, inactive (with supported aircraft)
Air Liaison,  Canada,  4 aircraft 
Air Lib,  France, inactive (with supported aircraft)
Air Liberia,  Liberia, inactive (with supported aircraft)
Air Liberte,  France, inactive (with supported aircraft)Renamed / Merged to Air Lib
Air Liberte Tunisie,  Tunisia, inactive (with supported aircraft)Renamed / Merged to Nouvelair
Air Libya,  Libya,  4 aircraft 
Air Limousin,  France, inactive (with supported aircraft)
Air Lithuania,  Lithuania, inactive (with supported aircraft)
Air Littoral,  France, inactive (with supported aircraft)
Air Lituanica,  Lithuania, inactive (with supported aircraft)
Air Luxor,  Portugal, inactive (with supported aircraft)Renamed / Merged to HiFly
Air Macau,  China,  21 aircraft 
Air Madagascar,  Madagascar,  3 aircraft 
Air Madeira,  Portugal, inactive (with supported aircraft)Renamed / Merged to Euro Atlantic Airways
Air Madrid,  Spain, inactive (with supported aircraft)
Air Malawi,  Malawi, inactive (with supported aircraft)
Air Maldives,  Maldives, inactive (with supported aircraft)
Air Mali,  Mali, inactive (with supported aircraft)
Air Malta,  Malta,  9 aircraft 
Air Manas,  Kyrgyzstan, inactive (with supported aircraft)
Air Mandalay,  Myanmar,  2 aircraft 
Air Manitoba,  Canada, inactive (with supported aircraft)
Air Marshall Islands,  Marshall Islands,  1 aircraft 
Air Martinique,  France, inactive (with supported aircraft)Renamed / Merged to Air Caraibes
Air Mauritanie,  Mauritania, inactive (with supported aircraft)
Air Mauritius,  Mauritius,  10 aircraft 
Air Max Africa,  Gabon, inactive (with supported aircraft)
Air Mediterranean,  Greece,  3 aircraft 
Air Mediterranee,  France, inactive (with supported aircraft)
Air Mekong,  Vietnam, inactive (with supported aircraft)
Air Memphis,  Egypt, inactive (with supported aircraft)Renamed / Merged to Air Leisure Egypt
Air Meuse,  Belgium, inactive (with supported aircraft)Renamed / Merged to DAT
Air Midi Bigorre,  France, inactive (with supported aircraft)Renamed / Merged to Air Mediterranee
Air Midroc,  Ethiopia, inactive (with supported aircraft)
Air Midwest,  USA, inactive (with supported aircraft)
Air Midwest Nigeria,  Nigeria, inactive (with supported aircraft)
Air Midwest USA,  USA, inactive (with supported aircraft)
Air Mikisew,  Canada, inactive (with supported aircraft)
Air Minas,  Brazil, inactive (with supported aircraft)
Air Moana,  France,  2 aircraft 
Air Moldova,  Moldova,  1 aircraft 
Air Montenegro,  Montenegro,  3 aircraft 
Air Montreal,  Canada, inactive (with supported aircraft)
Air Namibia,  Namibia, inactive (with supported aircraft)
Air National,  USA, inactive (with supported aircraft)
Air National ZK,  New Zealand, inactive (with supported aircraft)
Air Nauru,  Nauru, inactive (with supported aircraft)Renamed / Merged to Our Airline
Air Nelson,  New Zealand, inactive (with supported aircraft)Renamed / Merged to Air New Zealand
Air Nepal International,  Nepal, inactive (with supported aircraft)
Air New Zealand,  New Zealand,  106 aircraft 
Air Next,  Japan, inactive (with supported aircraft)Renamed / Merged to ANA Wings
Air Niamey,  Niger, inactive (with supported aircraft)
Air Nigeria,  Nigeria, inactive (with supported aircraft)
Air Nippon - ANK,  Japan, inactive (with supported aircraft)Renamed / Merged to All Nippon Airways
Air Nippon Network,  Japan, inactive (with supported aircraft)Renamed / Merged to ANA Wings
Air Niugini,  Papua New Guinea,  20 aircraft 
Air Norterra,  Canada, inactive (with supported aircraft)
Air North,  Canada,  9 aircraft 
Air Nostrum,  Spain,  39 aircraft 
Air Nova,  Canada, inactive (with supported aircraft)Renamed / Merged to Air Canada Regional
Air Ocean Maroc,  Morocco,  2 aircraft 
Air Omega,  Germany, inactive (with supported aircraft)
Air One,  Italy, inactive (with supported aircraft)Renamed / Merged to Alitalia
Air One Aviation,  India,  3 aircraft 
Air One CityLiner,  Italy, inactive (with supported aircraft)Renamed / Merged to Alitalia CityLiner
Air Onix,  Ukraine, inactive (with supported aircraft)
Air Ontario,  Canada, inactive (with supported aircraft)Renamed / Merged to Air Canada Regional
Air Open Sky,  France, inactive (with supported aircraft)
Air Ops,  Sweden, inactive (with supported aircraft)
Air Ostrava,  Czech Republic, inactive (with supported aircraft)
Air Outre Mer,  France, inactive (with supported aircraft)Renamed / Merged to AOM French Airlines
Air Pacific,  Fiji, inactive (with supported aircraft)Renamed / Merged to Fiji Airways
Air Panama,  Panama,  4 aircraft 
Air Panama International,  Panama, inactive (with supported aircraft)
Air Paradise International,  Indonesia, inactive (with supported aircraft)
Air Peace,  Nigeria,  20 aircraft 
Air Pegasus,  India, inactive (with supported aircraft)
Air Philip,  South Korea, inactive (with supported aircraft)
Air Philippines,  Philippines, inactive (with supported aircraft)Renamed / Merged to Airphil Express
Air Pink,  Serbia,  2 aircraft 
Air Plus Argentina,  Argentina, inactive (with supported aircraft)
Air Plus Comet,  Spain, inactive (with supported aircraft)Renamed / Merged to Air Comet
Air Pohang,  South Korea, inactive (with supported aircraft)
Air Poitou Charentes,  France, inactive (with supported aircraft)
Air Poland,  Poland, inactive (with supported aircraft)
Air Polonia,  Poland, inactive (with supported aircraft)
Air Premia,  South Korea,  6 aircraft 
Air Provence,  France, inactive (with supported aircraft)Renamed / Merged to Westair
Air Queensland,  Australia, inactive (with supported aircraft)Renamed / Merged to Australian Airlines
Air Rarotonga,  Cook Islands,  2 aircraft 
Air Rose,  Turkey, inactive (with supported aircraft)Renamed / Merged to Euro Sun
Air Rum,  Sierra Leone, inactive (with supported aircraft)
Air Sahara,  India, inactive (with supported aircraft)Renamed / Merged to JetLite
Air Saint Martin,  France, inactive (with supported aircraft)Renamed / Merged to Air Caraibes
Air Sal,  Italy, inactive (with supported aircraft)
Air Scandic International,  United Kingdom, inactive (with supported aircraft)
Air Scotland,  United Kingdom, inactive (with supported aircraft)
Air Senegal,  Senegal,  8 aircraft 
Air Senegal International,  Senegal, inactive (with supported aircraft)
Air Seoul,  South Korea,  6 aircraft 
Air Serbia,  Serbia,  24 aircraft 
Air Service Gabon,  Gabon, inactive (with supported aircraft)
Air Service Nantes,  France, inactive (with supported aircraft)
Air Seychelles,  Seychelles,  2 aircraft 
Air Sial,  Pakistan,  5 aircraft 
Air Siam,  Thailand, inactive (with supported aircraft)
Air Sicilia,  Italy, inactive (with supported aircraft)
Air Sinai,  Egypt, inactive (with supported aircraft)
Air Slovakia,  Slovakia, inactive (with supported aircraft)
Air South,  USA, inactive (with supported aircraft)
Air South Regional,  Australia, inactive (with supported aircraft)
Air Southwest,  United Kingdom, inactive (with supported aircraft)
Air Spray,  Canada, inactive (with supported aircraft)
Air Srpska,  Bosnia-Hercegovina, inactive (with supported aircraft)
Air St. Pierre,  France,  1 aircraft 
Air Stork,  Moldova, inactive (with supported aircraft)
Air Sul,  Portugal, inactive (with supported aircraft)
Air Sur,  Spain, inactive (with supported aircraft)
Air Sweden,  Sweden, inactive (with supported aircraft)
Air Sylhet,  United Kingdom, inactive (with supported aircraft)
Air Tahiti,  France,  11 aircraft 
Air Tahiti Nui,  France,  4 aircraft 
Air Tahoma,  USA, inactive (with supported aircraft)
Air Tanzania,  Tanzania,  10 aircraft 
Air Tara,  Ireland, inactive (with supported aircraft)
Air Taraba,  Nigeria,  2 aircraft 
Air Tchad,  Chad, inactive (with supported aircraft)
Air Thanlwin,  Myanmar,  4 aircraft 
Air Tindi,  Canada, inactive (with supported aircraft)
Air Togo,  Togo, inactive (with supported aircraft)
Air Toulouse,  France, inactive (with supported aircraft)Renamed / Merged to Aeris
Air Transat,  Canada,  39 aircraft 
Air Transport International,  USA,  49 aircraft 
Air Transse,  Japan, inactive (with supported aircraft)
Air Travel,  China,  15 aircraft 
Air Tungaru,  Kiribati, inactive (with supported aircraft)Renamed / Merged to Air Kiribati
Air Turks & Caicos,  Turks & Caicos Islands, inactive (with supported aircraft)
Air Turquoise,  France, inactive (with supported aircraft)
Air Uganda,  Uganda, inactive (with supported aircraft)
Air UK,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to KLM uk
Air UK Leisure,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Leisure International Airways
Air Ukraine,  Ukraine, inactive (with supported aircraft)
Air Universal,  Jordan, inactive (with supported aircraft)
Air Urga,  Ukraine,  5 aircraft 
Air Vallee,  Italy, inactive (with supported aircraft)
Air Vanuatu,  Vanuatu,  2 aircraft 
Air Vardar,  Macedonia, inactive (with supported aircraft)
Air Vendee,  France, inactive (with supported aircraft)Renamed / Merged to Regional CAE
Air Via,  Bulgaria, inactive (with supported aircraft)Renamed / Merged to Via Airways
Air Wales,  United Kingdom, inactive (with supported aircraft)
Air West Cargo,  Qazakhstan, inactive (with supported aircraft)
Air Wings,  Romania, inactive (with supported aircraft)
Air Wisconsin,  USA,  52 aircraft 
Air X Charter,  Malta,  17 aircraft 
Air Zaire,  Zaire, inactive (with supported aircraft)
Air Zarco,  Portugal, inactive (with supported aircraft)Renamed / Merged to Air Madeira
Air Zena Georgian Airways,  Georgia, inactive (with supported aircraft)Renamed / Merged to Georgian Airways
Air Zimbabwe,  Zimbabwe,  2 aircraft 
AIR-VAN Airlines,  Armenia, inactive (with supported aircraft)
Air1Air,  Iran, inactive (with supported aircraft)
AirAsia,  Malaysia,  75 aircraft 
AirAsia India,  India,  28 aircraft 
AirAsia Japan,  Japan, inactive (with supported aircraft)
AirAsia Philippines,  Philippines, inactive (with supported aircraft)Renamed / Merged to Philippines AirAsia
AirAsia X,  Malaysia,  13 aircraft 
